ID	index	Product	CHEBI Label		CHEBI ID	Concentration
ID		I 'active ingredient in'		TYPE	TYPE	I 'has concentration value'
PESTON:0701649	1649	ATHOS	(+)-Sceletium A4	Active Ingredient	CHEBI:31020	1.8
PESTON:0707126	7126	EOS	(+)-Sceletium A4	Active Ingredient	CHEBI:31020	1
PESTON:0713543	13543	OLEOSAN PLUS	(1S)-trans-(alphaS)-cypermethrin	Active Ingredient	CHEBI:39340	0
PESTON:0715072	15072	PROCLAIM COMBI	(1S,2S)-bitertanol	Active Ingredient	CHEBI:83855	8
PESTON:0702946	2946	BOLD MATURA	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0702960	2960	BOLL	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39
PESTON:0703787	3787	CERONE	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	40
PESTON:0706207	6207	DIREFON	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	2.4
PESTON:0707383	7383	ETEDOR	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39
PESTON:0707384	7384	ETEDOR SL	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.6
PESTON:0707385	7385	ETEFON 40	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0707386	7386	ETEFON 40 SL	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.6
PESTON:0707387	7387	ETEFON 480	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.6
PESTON:0707388	7388	ETEPLUS	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0707390	7390	ETEROC	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0707391	7391	ETEROC 480	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.6
PESTON:0707397	7397	ETHREL MC	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	22
PESTON:0708176	8176	FLOREL 22	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	22
PESTON:0708177	8177	FLOREL 40	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	40
PESTON:0709167	9167	GEREPHON LG	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0711039	11039	LEVEL	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39
PESTON:0713592	13592	OMEGA	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0715861	15861	RASCH	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0716195	16195	RIPEFON 40	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.5
PESTON:0719418	19418	TOMATODOR	(2-chloroethyl)phosphonic acid	Active Ingredient	CHEBI:52741	39.7
PESTON:0701085	1085	ANEMAPENE	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0705417	5417	DAFODIL	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0706394	6394	DI-TRAPEX	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	73
PESTON:0709023	9023	GASOL DD	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0712911	12911	MSD SCHERING	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0713109	13109	NEMADID	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0713111	13111	NEMADIENE 100	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0713119	13119	NEMASAR	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0718739	18739	TECNIFUM 100	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0718971	18971	TERREX	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	73
PESTON:0720494	20494	VIDDEN D	(E)-1,3-dichloropropene	Active Ingredient	CHEBI:18624	
PESTON:0700352	352	ADIVENIR DUO	(E)-azobenzene	Active Ingredient	CHEBI:58996	1.00%
PESTON:0703842	3842	CHECKMATE PTB	(E)-azobenzene	Active Ingredient	CHEBI:58996	1.7
PESTON:0703848	3848	CHECKMATE PUFFER FRUIT MULTI	(E)-azobenzene	Active Ingredient	CHEBI:58996	
