Ontology ID	ID	Type	Company
ID		TYPE	AL rdfs:label@en
PESTON:0500001	1	Company	AAKO B.V.
PESTON:0500002	2	Company	ABION FRANCE SARL
PESTON:0500003	3	Company	ACOSIL S.R.L.
PESTON:0500004	4	Company	ACTION PIN S.A.
PESTON:0500005	5	Company	ACTIVA S.R.L.
PESTON:0500006	6	Company	ADAMA AGAN LTD
PESTON:0500007	7	Company	ADAMA AGRICULTURE B.V.
PESTON:0500008	8	Company	ADAMA CELSIUS CURACAO BRANCH
PESTON:0500009	9	Company	ADAMA DEUTSCHLAND GMBH
PESTON:0500010	10	Company	ADAMA IRVITA N.V.
PESTON:0500011	11	Company	ADAMA ITALIA S.R.L.
PESTON:0500012	12	Company	ADAMA MAKHTESHIM LTD
PESTON:0500013	13	Company	ADAMA QUENA N.V.
PESTON:0500014	14	Company	ADICA S.R.L.
PESTON:0500015	15	Company	AFEPASA AZUFRERA Y FERTILIZANTES PALLARES S.A.
PESTON:0500016	16	Company	AGCHEM ACCESS LTD.
PESTON:0500017	17	Company	AGER CHEMICAL S.R.L.
PESTON:0500018	18	Company	AGFORM LTD
PESTON:0500019	19	Company	AGRAUXINE S.A.
PESTON:0500020	20	Company	AGRI NATURA
PESTON:0500021	21	Company	AGRIA S.A.
PESTON:0500022	22	Company	AGRIBIO S.R.L.
PESTON:0500023	23	Company	AGRIBIOCHIMICA S.R.L.
PESTON:0500024	24	Company	AGRIBIOTEC S.R.L.
PESTON:0500025	25	Company	AGRICA S.R.L.
PESTON:0500026	26	Company	AGRICHIMICA S.R.L.
PESTON:0500027	27	Company	AGRICO ITALIA S.R.L.
PESTON:0500028	28	Company	AGRICO S.R.L.
PESTON:0500029	29	Company	AGRICOLA LTD
PESTON:0500030	30	Company	AGRICOLTURA ITALIA S.R.L.
PESTON:0500031	31	Company	AGRIFARMAX DI R. BELLONI
PESTON:0500032	32	Company	AGRIFUTUR S.R.L.
PESTON:0500033	33	Company	AGRIM S.R.L.
PESTON:0500034	34	Company	AGRIMARK S.A.S.
PESTON:0500035	35	Company	AGRIMIX S.R.L.
PESTON:0500036	36	Company	AGRIMPORT S.P.A.
PESTON:0500037	37	Company	AGRINOVA S.P.A.
PESTON:0500038	38	Company	AGRIPHAR ITALIA S.R.L.
PESTON:0500039	39	Company	AGRIPHYT S.A.
PESTON:0500040	40	Company	AGRIPLANT S.R.L.
PESTON:0500041	41	Company	AGRISENSE BCS LTD
PESTON:0500042	42	Company	AGRISTAR SYSTEM S.R.L.
PESTON:0500043	43	Company	AGRISYSTEM S.R.L.
PESTON:0500044	44	Company	AGRIVET S.A.S.
PESTON:0500045	45	Company	AGRO TRADE GMBH
PESTON:0500046	46	Company	AGROCAL CHEMICALS S.L.
PESTON:0500047	47	Company	AGROCHIMICA S.P.A.
PESTON:0500048	48	Company	AGROFRESH HOLDING FRANCE SAS
PESTON:0500049	49	Company	AGROLAC S.A.
PESTON:0500050	50	Company	AGROLINZ ITALIA S.R.L.
PESTON:0500051	51	Company	AGRONATURALIS LTD
PESTON:0500052	52	Company	AGRONOVA S.R.L.
PESTON:0500053	53	Company	AGROPIAVE S.R.L.
PESTON:0500054	54	Company	AGROQUALITA' S.R.L.
PESTON:0500055	55	Company	AGROSER S.R.L.
PESTON:0500056	56	Company	AGROSTULLN GMBH
PESTON:0500057	57	Company	AGROTECNICA S.A.S.
PESTON:0500058	58	Company	AGROWIN BIOSCIENCES S.R.L.
