id	index	Product	date type	date	revocation reason_IT
ID		I 'is about'	TYPE	I inXSDDate	AL comment@it
PESTON:0800001	1	1,3-D SOIL FUMIGANT	pesticide issue date	1981-07-29^^xsd:date	
PESTON:0800002	2	1,3-D SOIL FUMIGANT	pesticide revocation date	2002-10-09^^xsd:date	
PESTON:0800003	3	2,4 DISERBIN	pesticide issue date	1974-06-26^^xsd:date	
PESTON:0800004	4	2,4 DISERBIN	pesticide revocation date	2003-04-01^^xsd:date	
PESTON:0800005	5	2,4 DISERBIN E	pesticide authorization expiry date	2030-12-31^^xsd:date	
PESTON:0800006	6	2,4 DISERBIN E	pesticide issue date	1996-12-31^^xsd:date	
PESTON:0800007	7	2,4 DISERBIN E	pesticide revocation date	2016-01-15^^xsd:date	
PESTON:0800008	8	2,4 DISERBIN N	pesticide issue date	1989-01-12^^xsd:date	
PESTON:0800009	9	2,4 DISERBIN N	pesticide revocation date	2003-04-01^^xsd:date	
PESTON:0800010	10	2,4 DISERBIN P	pesticide issue date	1983-10-10^^xsd:date	
PESTON:0800011	11	2,4 DISERBIN P	pesticide revocation date	1997-02-10^^xsd:date	
PESTON:0800012	12	2,4 DISERBIN PASTA	pesticide issue date	1983-12-28^^xsd:date	
PESTON:0800013	13	2,4 DISERBIN PASTA	pesticide revocation date	1997-02-10^^xsd:date	
PESTON:0800014	14	2,4 DISERBIN PN	pesticide issue date	1988-11-23^^xsd:date	
PESTON:0800015	15	2,4 DISERBIN PN	pesticide revocation date	1997-02-10^^xsd:date	
PESTON:0800016	16	3 EFFE S	pesticide issue date	1982-06-19^^xsd:date	
PESTON:0800017	17	3 EFFE S	pesticide revocation date	1991-10-25^^xsd:date	
PESTON:0800018	18	36C 2018	pesticide authorization expiry date	2018-07-29^^xsd:date	
PESTON:0800019	19	36C 2018	pesticide issue date	2018-03-08^^xsd:date	
PESTON:0800020	20	36C TIPO B	pesticide authorization expiry date	2016-03-29^^xsd:date	
PESTON:0800021	21	36C TIPO B	pesticide issue date	2015-09-28^^xsd:date	
PESTON:0800022	22	3LOGY	pesticide authorization expiry date	2023-11-30^^xsd:date	
PESTON:0800023	23	3LOGY	pesticide issue date	2016-03-16^^xsd:date	
PESTON:0800024	24	4 STAGIONI	pesticide authorization expiry date	2021-12-31^^xsd:date	
PESTON:0800025	25	4 STAGIONI	pesticide issue date	1998-12-22^^xsd:date	
PESTON:0800026	26	75A	pesticide authorization expiry date	2023-12-31^^xsd:date	
PESTON:0800027	27	75A	pesticide issue date	2008-05-09^^xsd:date	
PESTON:0800028	28	A 11 ANTICRITTOGAMICO	pesticide issue date	1978-11-08^^xsd:date	
PESTON:0800029	29	A 11 ANTICRITTOGAMICO	pesticide revocation date	2001-07-12^^xsd:date	
PESTON:0800030	30	A 116	pesticide issue date	1972-05-10^^xsd:date	
PESTON:0800031	31	A 116	pesticide revocation date	1978-05-15^^xsd:date	
PESTON:0800032	32	A 150 BLU	pesticide issue date	1976-09-30^^xsd:date	
PESTON:0800033	33	A 150 BLU	pesticide revocation date	1990-04-07^^xsd:date	
PESTON:0800034	34	A 99	pesticide issue date	1976-01-02^^xsd:date	
PESTON:0800035	35	A 99	pesticide revocation date	1996-12-02^^xsd:date	
PESTON:0800036	36	A.B.C.	pesticide issue date	1972-02-17^^xsd:date	
PESTON:0800037	37	A.B.C.	pesticide revocation date	1999-06-04^^xsd:date	
PESTON:0800038	38	A.K. 20	pesticide authorization expiry date	2010-04-27^^xsd:date	
PESTON:0800039	39	A.K. 20	pesticide issue date	2006-01-23^^xsd:date	
PESTON:0800040	40	A.K. 20	pesticide revocation date	2009-03-30^^xsd:date	
