ID of ingredient concentration	index	ID of product (if we want to link to it)	ID of active ingredient instance	type	Concentration	value	unit
ID			I 'is about'	TYPE		I 'has value'	I 'has unit'
PESTON:0900001	1	PESTON:0110137	PESTON:0700001	ingredient concentration	1	1	UOM:%25
PESTON:0900002	2	PESTON:0110469	PESTON:0700002	ingredient concentration	1.8	1.8	UOM:%25
PESTON:0900003	3	PESTON:0115135	PESTON:0700003	ingredient concentration	0	0	 
PESTON:0900004	4	PESTON:0105401	PESTON:0702630	ingredient concentration	8	8	UOM:%25
PESTON:0900005	5	PESTON:0108295	PESTON:0700005	ingredient concentration	2.4	2.4	UOM:%25
PESTON:0900006	6	PESTON:0106426	PESTON:0700006	ingredient concentration	22	22	UOM:%25
PESTON:0900007	7	PESTON:0106446	PESTON:0700007	ingredient concentration	22	22	UOM:%25
PESTON:0900008	8	PESTON:0109944	PESTON:0700008	ingredient concentration	39	39	UOM:%25
PESTON:0900009	9	PESTON:0110019	PESTON:0700009	ingredient concentration	39	39	UOM:%25
PESTON:0900010	10	PESTON:0110033	PESTON:0700010	ingredient concentration	39	39	UOM:%25
PESTON:0900011	11	PESTON:0109093	PESTON:0700011	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900012	12	PESTON:0109967	PESTON:0700012	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900013	13	PESTON:0110111	PESTON:0700013	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900014	14	PESTON:0110194	PESTON:0700014	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900015	15	PESTON:0111184	PESTON:0700015	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900016	16	PESTON:0111585	PESTON:0700016	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900017	17	PESTON:0112118	PESTON:0700017	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900018	18	PESTON:0112602	PESTON:0700018	ingredient concentration	39.5	39.5	UOM:%25
PESTON:0900019	19	PESTON:0113932	PESTON:0700019	ingredient concentration	39.6	39.6	UOM:%25
PESTON:0900020	20	PESTON:0113933	PESTON:0700020	ingredient concentration	39.6	39.6	UOM:%25
PESTON:0900021	21	PESTON:0114269	PESTON:0700021	ingredient concentration	39.6	39.6	UOM:%25
PESTON:0900022	22	PESTON:0114270	PESTON:0700022	ingredient concentration	39.6	39.6	UOM:%25
PESTON:0900023	23	PESTON:0110076	PESTON:0700023	ingredient concentration	39.7	39.7	UOM:%25
PESTON:0900024	24	PESTON:0106264	PESTON:0700024	ingredient concentration	40	40	UOM:%25
PESTON:0900025	25	PESTON:0106447	PESTON:0700025	ingredient concentration	40	40	UOM:%25
PESTON:0900026	26	PESTON:0105590	PESTON:0700026	ingredient concentration	73	73	UOM:%25
PESTON:0900027	27	PESTON:0106323	PESTON:0700027	ingredient concentration	73	73	UOM:%25
PESTON:0900028	28	PESTON:0100443	PESTON:0700028	ingredient concentration			
PESTON:0900029	29	PESTON:0100578	PESTON:0700029	ingredient concentration			
PESTON:0900030	30	PESTON:0100671	PESTON:0700030	ingredient concentration			
PESTON:0900031	31	PESTON:0100913	PESTON:0700031	ingredient concentration			
PESTON:0900032	32	PESTON:0101137	PESTON:0700032	ingredient concentration			
PESTON:0900033	33	PESTON:0101766	PESTON:0700033	ingredient concentration			
PESTON:0900034	34	PESTON:0102066	PESTON:0700034	ingredient concentration			
PESTON:0900035	35	PESTON:0104413	PESTON:0700035	ingredient concentration			
PESTON:0900036	36	PESTON:0104587	PESTON:0700036	ingredient concentration			
PESTON:0900037	37	PESTON:0105324	PESTON:0700037	ingredient concentration			
PESTON:0900038	38	PESTON:0116220	PESTON:0700038	ingredient concentration	1.6	1.6	UOM:%25
PESTON:0900039	39	PESTON:0112829	PESTON:0700039	ingredient concentration	1.7	1.7	UOM:%25
PESTON:0900040	40	PESTON:0112830	PESTON:0700175	ingredient concentration	8.3	8.3	UOM:%25
PESTON:0900041	41	PESTON:0117674	PESTON:0700041	ingredient concentration	26	26	UOM:%25
PESTON:0900042	42	PESTON:0113085	PESTON:0700182	ingredient concentration	0.7 %	0.7	UOM:%25
PESTON:0900043	43	PESTON:0112839	PESTON:0700180	ingredient concentration	1.0 %	1	UOM:%25
PESTON:0900044	44	PESTON:0115998	PESTON:0700181	ingredient concentration	1.0 %	1	UOM:%25
PESTON:0900045	45	PESTON:0112838	PESTON:0700045	ingredient concentration	1.7 m	1.7	UOM:%25
PESTON:0900046	46	PESTON:0116708	PESTON:0700046	ingredient concentration	3.6 %	3.6	UOM:%25
PESTON:0900047	47	PESTON:0113861	PESTON:0700047	ingredient concentration	5.5 m	5.5	UOM:%25
PESTON:0900048	48	PESTON:0114709	PESTON:0700183	ingredient concentration	92.2 m	92.2	UOM:%25
PESTON:0900049	49	PESTON:0117226	PESTON:0700188	ingredient concentration			
PESTON:0900050	50	PESTON:0116122	PESTON:0700050	ingredient concentration	0	0	UOM:%25
PESTON:0900051	51	PESTON:0116123	PESTON:0700051	ingredient concentration	0	0	UOM:%25
PESTON:0900052	52	PESTON:0113842	PESTON:0700052	ingredient concentration	0.1	0.1	UOM:%25
PESTON:0900053	53	PESTON:0112844	PESTON:0700053	ingredient concentration	0.3	0.3	UOM:%25
PESTON:0900054	54	PESTON:0116116	PESTON:0700054	ingredient concentration	0.3	0.3	UOM:%25
PESTON:0900055	55	PESTON:0110293	PESTON:0700055	ingredient concentration	6	6	UOM:%25
PESTON:0900056	56	PESTON:0116548	PESTON:0700056	ingredient concentration	0.1 %	0.1	UOM:%25
PESTON:0900057	57	PESTON:0111554	PESTON:0700057	ingredient concentration	0.1 m	0.1	UOM:%25
PESTON:0900058	58	PESTON:0111551	PESTON:0700058	ingredient concentration	117.0 m	117	UOM:mg
PESTON:0900059	59	PESTON:0111552	PESTON:0700059	ingredient concentration	234.0 m	234	UOM:mg
PESTON:0900060	60	PESTON:0114351	PESTON:0700060	ingredient concentration			
PESTON:0900061	61	PESTON:0115261	PESTON:0700061	ingredient concentration			
PESTON:0900062	62	PESTON:0115354	PESTON:0700062	ingredient concentration			
PESTON:0900063	63	PESTON:0111556	PESTON:0717688	ingredient concentration	210.0 m	210	UOM:mg
PESTON:0900064	64	PESTON:0111556	PESTON:0700064	ingredient concentration	25.0 m	25	UOM:%25
PESTON:0900065	65	PESTON:0105259	PESTON:0702669	ingredient concentration	2	2	UOM:%25
PESTON:0900066	66	PESTON:0113135	PESTON:0700066	ingredient concentration	2.7	2.7	UOM:%25
PESTON:0900067	67	PESTON:0100871	PESTON:0700067	ingredient concentration			
PESTON:0900068	68	PESTON:0117715	PESTON:0700068	ingredient concentration	11.8	11.8	UOM:%25
PESTON:0900069	69	PESTON:0117390	PESTON:0700069	ingredient concentration	117.9	117.9	UOM:g
PESTON:0900070	70	PESTON:0116725	PESTON:0700070	ingredient concentration	960	960	UOM:g
PESTON:0900071	71	PESTON:0116983	PESTON:0700071	ingredient concentration	960	960	UOM:g
PESTON:0900072	72	PESTON:0117392	PESTON:0700072	ingredient concentration	960	960	UOM:g
PESTON:0900073	73	PESTON:0117568	PESTON:0700073	ingredient concentration	960	960	UOM:g
PESTON:0900074	74	PESTON:0116724	PESTON:0700074	ingredient concentration	150.0 m	150	UOM:mg
PESTON:0900075	75	PESTON:0116985	PESTON:0700075	ingredient concentration	150.0 m	150	UOM:mg
PESTON:0900076	76	PESTON:0117172	PESTON:0700076	ingredient concentration	150.0 m	150	UOM:mg
PESTON:0900077	77	PESTON:0116397	PESTON:0700077	ingredient concentration	150.0 m/K	150	UOM:mg
PESTON:0900078	78	PESTON:0117575	PESTON:0700078	ingredient concentration	150.0 m/K	150	UOM:mg
PESTON:0900079	79	PESTON:0117171	PESTON:0700079	ingredient concentration	960.0 /k	960	UOM:mg
PESTON:0900080	80	PESTON:0103004	PESTON:0700080	ingredient concentration	3.3	3.3	UOM:%25
PESTON:0900081	81	PESTON:0116405	PESTON:0700081	ingredient concentration	12	12	UOM:%25
