id	Chemical_role	Chemical_role_ITA	Reg_no	Product	Company	Issue_date	Authorisation_expiry_date	Revocation_date	Authorization_status	Authorization_status_en	Revocation_reason	Revocation_decision_date	Formulation_code	Formulation_description	Formulation_use	Hazard_mention	Hazard_code	Active_ingredient	CHEBI_confidence	CHEBI_term_label	CHEBI_term	Active_ingredient_content	CH 2	CHT 2	AI 2	CH 3	CHT 3	AI 3	CH 4	CHT 4	AI 4	CH 5	CHT5	AI 5	IP	PFnPO	PFnPE
ID	TYPE SPLIT=|			LABEL	I 'produced by'									TYPE SPLIT=|							TI 'has active ingredient' some %			TI 'has active ingredient' some %			TI 'has active ingredient' some %			TI 'has active ingredient' some %			TI 'has active ingredient' some %				
PESTON:0100001	pesticide product		1	ENOVIT	SIPCAM S.P.A.	1970-04-14		1983-07-14	Revocato	revoked			DP	dispersible powder	D			THIOPHANATE-METHYL	Good	thiophanate-methyl	CHEBI:35014																
PESTON:0100002	pesticide product		2	CONTRAX STANGE	KEMIO	1971-01-21		1997-03-05	Revocato	revoked	REVOCA PER MANCATA RISPOSTA A RICHIESTE UFFICIO		PR	plant rodlet	R			WARFARIN	Good	warfarin	CHEBI:10033																
PESTON:0100003	pesticide product		3	QUINTAMON	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-07		1990-04-07	Revocato	revoked			DP	dispersible powder	D			DICLORAN		2,6-dichloro-4-nitroaniline	CHEBI:27864	50															
PESTON:0100005	pesticide product		5	AGROXONE 96	SOLPLANT S.P.A.	1971-06-19		1990-04-07	Revocato	revoked			DP	dispersible powder	D			MCPA	Good	MCPA-thioethyl	CHEBI:81929	75															
PESTON:0100006	pesticide product		6	TMTD-AMONN	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-08		2002-12-31	Revocato	revoked			WP	wettable powder	W			THIRAM	Good	thiram	CHEBI:9495	80															
PESTON:0100007	pesticide product		7	ZIRAM 80	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-07		1990-04-07	Revocato	revoked			DP	dispersible powder	D			ZIRAM	Good	ziram	CHEBI:79736	76															
PESTON:0100008	pesticide product		8	DDT 50 WP	SOLPLANT S.P.A.	1971-07-20		1978-10-11	Revocato	revoked			WP	wettable powder	W			DDT	Good	DDT	CHEBI:16130																
PESTON:0100009	pesticide product		9	ENTOX 10 POLVERE	SOLPLANT S.P.A.	1971-06-14		1973-10-26	Revocato	revoked								ALDRIN	Good	aldrin	CHEBI:2564																
PESTON:0100010	pesticide product		10	AGROXONE C	SOLPLANT S.P.A.	1971-06-14		1990-04-07	Revocato	revoked								MCPA	Good	MCPA-thioethyl	CHEBI:81929	1															
PESTON:0100011	pesticide product		11	ALGACIDE	SOLPLANT S.P.A.	1971-06-14		1994-03-16	Revocato	revoked			DP	dispersible powder	D			COPPER CHLORIDE	Medium	copper(II) chloride	CHEBI:49553	82															
PESTON:0100012	pesticide product		12	ENTOX 60 POLVERE	SOLPLANT S.P.A.	1971-06-17		1973-10-26	Revocato	revoked								ALDRIN	Good	aldrin	CHEBI:2564																
PESTON:0100013	fungicide product	FUNGICIDA	13	THIOPRON	UPL EUROPE LTD	1972-03-16	2021-12-31		Ri-registrato	re-registered			AL	any other liquid	M	irritant	Xi	SULPHUR (ZOLFO)	Good	elemental sulfur	CHEBI:33403	57.3															SI
PESTON:0100014	fungicide product	FUNGICIDA	14	MICROTHIOL	UPL EUROPE LTD	1972-03-16	2021-12-31		Autorizzato	authorised			WP	wettable powder	W	irritant	Xi	SULPHUR (ZOLFO)	Good	elemental sulfur	CHEBI:33403	81															
PESTON:0100015	pesticide product		15	CORBAX	SYNGENTA ITALIA S.P.A.	1971-05-07		2003-03-14	Revocato	revoked			DP	dispersible powder	D			ANTRACHINONE	Good	anthraquinone	CHEBI:22580	25															
PESTON:0100016	pesticide product		16	PATORAN	BASF A.G. (AKTIENGESELLSHAFT)	1971-12-02		2002-09-20	Revocato	revoked			WP	wettable powder	W			METOBROMURON	Good	Metobromuron	CHEBI:81964	50															
PESTON:0100017	herbicide product	DISERBANTE	17	U 46 COMBI FLUID	NUFARM B.V.	1971-06-17	2030-12-31		Autorizzato	authorised			SL	soluble concentrate	W	harmful	Xn	MCPA|2,4-D	Medium|Medium	MCPA-thioethyl	CHEBI:81929	25	2,4-D	CHEBI:28854	29												
PESTON:0100018	pesticide product		18	CITOWETT	BASF A.G. (AKTIENGESELLSHAFT)	1971-12-01		2002-09-20	Revocato	revoked			AL	any other liquid	M				Did not map	N/A																	
PESTON:0100019	pesticide product		19	BAGNANTE SOLPLANT	SOLPLANT S.P.A.	1971-07-22		1994-02-14	Revocato	revoked			DP	dispersible powder	D				Did not map	N/A																	
PESTON:0100020	pesticide product		20	BASF-D ESTER 50	BASF A.G. (AKTIENGESELLSHAFT)	1971-07-27		2002-09-20	Revocato	revoked			EC	emulsifiable concentrate	W			2,4-D	Good	2,4-D	CHEBI:28854	46															
PESTON:0100021	pesticide product		21	PERTHANE EC	DU PONT DE NEMOURS ITALIANA S.R.L.	1972-11-09		1990-04-07	Revocato	revoked								PERTANE		pentane	CHEBI:37830	45															
